date,volume_real,volume_projection,volume_lower,volume_upper
2020-05-01,10971,,,
2020-06-01,10605,,,
2020-07-01,10398,,,
2020-08-01,10349,,,
2020-09-01,10279,,,
2020-10-01,10167,,,
2020-11-01,10100,,,
2020-12-01,10322,,,
2021-01-01,10510,,,
2021-02-01,10622,,,
2021-03-01,10378,,,
2021-04-01,9953,,,
2021-05-01,9480,,,
2021-06-01,9102,,,
2021-07-01,9014,,,
2021-08-01,9038,,,
2021-09-01,9016,,,
2021-10-01,8945,,,
2021-11-01,8804,,,
2021-12-01,8915,,,
2022-01-01,8970,,,
2022-02-01,8946,,,
2022-03-01,8536,,,
2022-04-01,8026,,,
2022-05-01,7517,,,
2022-06-01,7187,,,
2022-07-01,7041,,,
2022-08-01,7275,,,
2022-09-01,7328,,,
2022-10-01,7417,,,
2022-11-01,7187,,,
2022-12-01,7313,,,
2023-01-01,,"7,561.74","7,414.93","8,294.64"
2023-02-01,,"7,738.35","7,168.32","8,534.15"
2023-03-01,,"7,570.94","6,755.67","8,429.64"
2023-04-01,,"7,248.56","6,381.29","8,170.16"
2023-05-01,,"6,961.02","6,067.54","7,945.52"
2023-06-01,,"6,737.23","5,779.64","7,784.63"
2023-07-01,,"6,531.69","5,617.08","7,641.99"
2023-08-01,,"6,449.22","5,491.47","7,622.42"
2023-09-01,,"6,407.90","5,460.70","7,644.00"
2023-10-01,,"6,462.13","5,563.58","7,761.13"
2023-11-01,,"6,717.75","5,770.16","8,079.65"
2023-12-01,,"7,006.38","5,939.49","8,431.18"
2024-01-01,,"7,248.32","6,024.28","8,736.02"
2024-02-01,,"7,402.31","5,774.66","8,952.91"
2024-03-01,,"7,234.65","5,354.25","8,848.15"
2024-04-01,,"6,902.28","4,930.94","8,578.68"
2024-05-01,,"6,552.51","4,633.76","8,291.81"
2024-06-01,,"6,327.39","4,367.50","8,129.59"
2024-07-01,,"6,134.30","4,239.80","7,999.40"
2024-08-01,,"6,072.87","4,159.99","8,000.87"
2024-09-01,,"6,073.69","4,179.28","8,064.59"
2024-10-01,,"6,164.65","4,238.04","8,218.45"
2024-11-01,,"6,319.48","4,388.80","8,436.18"
2024-12-01,,"6,539.32","4,590.38","8,718.92"
2025-01-01,,"6,802.92","4,738.43","9,045.42"
2025-02-01,,"7,028.00","4,504.71","9,333.40"
2025-03-01,,"6,861.53","4,087.03","9,229.83"
2025-04-01,,"6,537.64","3,691.09","8,968.84"
2025-05-01,,"6,209.06","3,402.32","8,703.16"
2025-06-01,,"5,985.63","3,134.85","8,542.63"
2025-07-01,,"5,789.61","2,998.56","8,409.51"
2025-08-01,,"5,722.47","2,919.11","8,405.27"
2025-09-01,,"5,710.30","2,938.22","8,456.00"
2025-10-01,,"5,789.40","3,018.18","8,598.00"
