DATE,A191RL1Q225SBEA_CH1
1949-01-01,-5.4250000000000000
1950-01-01,14.9000000000000000
1951-01-01,-7.9250000000000000
1952-01-01,-0.0250000000000000
1953-01-01,-4.82500000000000000000
1954-01-01,2.15000000000000000000
1955-01-01,3.8000000000000000
1956-01-01,-4.5500000000000000
1957-01-01,-1.65000000000000000000
1958-01-01,2.57500000000000000000
1959-01-01,1.6750000000000000
1960-01-01,-3.60000000000000000000
1961-01-01,5.37500000000000000000
1962-01-01,-2.1000000000000000
1963-01-01,0.8750000000000000
1964-01-01,-0.0250000000000000
1965-01-01,3.3000000000000000
1966-01-01,-3.9250000000000000
1967-01-01,-1.8500000000000000
1968-01-01,2.3000000000000000
1969-01-01,-2.9000000000000000
1970-01-01,-2.22500000000000000000
1971-01-01,4.57500000000000000000
1972-01-01,2.4750000000000000
1973-01-01,-2.8000000000000000
1974-01-01,-6.0250000000000000
1975-01-01,4.5500000000000000
1976-01-01,1.7000000000000000
1977-01-01,0.7000000000000000
1978-01-01,1.7750000000000000
1979-01-01,-5.5500000000000000
1980-01-01,-1.15000000000000000000
1981-01-01,1.32500000000000000000
1982-01-01,-2.8500000000000000
1983-01-01,9.3000000000000000
1984-01-01,-2.3000000000000000
1985-01-01,-1.4250000000000000
1986-01-01,-1.2500000000000000
1987-01-01,1.5500000000000000
1988-01-01,-0.6500000000000000
1989-01-01,-1.0750000000000000
1990-01-01,-2.10000000000000000000
1991-01-01,0.52500000000000000000
1992-01-01,3.20000000000000000000
1993-01-01,-1.7750000000000000
1994-01-01,1.5250000000000000
1995-01-01,-1.9500000000000000
1996-01-01,2.2250000000000000
1997-01-01,0.1000000000000000
1998-01-01,0.4000000000000000
1999-01-01,-0.0750000000000000
2000-01-01,-1.8750000000000000
2001-01-01,-2.77500000000000000000
2002-01-01,1.82500000000000000000
2003-01-01,2.3000000000000000
2004-01-01,-0.9250000000000000
2005-01-01,-0.3750000000000000
2006-01-01,-0.3750000000000000
2007-01-01,-0.4500000000000000
2008-01-01,-4.6500000000000000
2009-01-01,2.60000000000000000000
2010-01-01,2.65000000000000000000
2011-01-01,-1.2500000000000000
2012-01-01,0.0250000000000000
2013-01-01,1.0000000000000000
2014-01-01,0.0250000000000000
2015-01-01,-0.7000000000000000
2016-01-01,0.1250000000000000
2017-01-01,0.8000000000000000
2018-01-01,-0.5000000000000000
2019-01-01,0.2750000000000000
2020-01-01,-1.40000000000000000000
2021-01-01,4.57500000000000000000
2022-01-01,-4.85000000000000000000
2023-01-01,.
